sym,name,rank,price_usd,price_btc,percent_change1h,percent_change1d,vol,last_up
PKB,parkbyte,255,0.350373,1.4401E-4,4.25,-26.64,86749.2,1497518962
PTC,pesetacoin,256,0.0127235,5.23E-6,-0.98,-19.79,25130.9,1497518947
BUN,bunnycoin,257,1.59119E-5,7.0E-9,4.78,24.26,80568.5,1497518955
FJC,fujicoin,258,0.00162959,6.7E-7,2.49,-25.92,11592.6,1497518963
THC,hempcoin,259,0.00752782,3.09E-6,0.36,-19.18,44679.5,1497518954
SYNX,syndicate,260,0.136499,5.61E-5,1.51,60.87,84534.8,1497518974
EGC,evergreencoin,261,0.112147,4.609E-5,0.27,16.12,124358.0,1497518967
ADC,audiocoin,262,0.00187965,7.7E-7,1.86,-13.03,1243.31,1497518962
TAG,tagcoin,263,0.267892,1.1011E-4,-1.89,-2.9,354270.0,1497518943
GEO,geocoin,264,0.474791,1.9515E-4,0.11,-11.64,9401.11,1497518960
SRC,securecoin,265,0.183992,7.562E-5,-0.91,-3.93,344608.0,1497518943
FUNC,funcoin,266,0.238328,9.796E-5,-0.25,-29.92,36869.1,1497518992
INSANE,insanecoin,267,0.073266,3.011E-5,0.13,-19.44,1644.3,1497518980
VRS,veros,268,0.014214,5.84E-6,-0.02,-2.93,11346.8,1497518982
VRM,veriumreserve,269,1.14801,4.7186E-4,-9.02,-18.78,19219.5,1497518978
EQT,equitrader,270,0.217411,8.936E-5,6.06,5.46,17087.6,1497518993
HUSH,hush,271,1.17511,4.83E-4,-0.03,-17.93,92933.5,1497518981
DYN,dynamic,272,0.778547,3.2E-4,-0.28,-17.68,4136.32,1497518988
CAGE,cagecoin,273,1.23934E-5,5.0E-9,-9.88,-16.52,5426.28,1497518947
ICASH,icash,274,0.00558994,2.3E-6,-0.4,-20.73,2808.95,1497518961
DOPE,dopecoin,275,0.0108997,4.48E-6,-2.92,-16.04,18833.3,1497518947
INFX,influxcoin,276,0.704441,2.8954E-4,-3.2,75.29,761767.0,1497518965
ERC,europecoin,277,0.117147,4.815E-5,-2.06,-19.38,2945.55,1497518963
ALT,altcoin-alt,278,9.40818,0.00386697,15.69,-7.12,13475.6,1497518991
PND,pandacoin-pnd,279,3.49516E-5,1.0E-8,-19.21,-29.36,4421.96,1497518949
DGC,digitalcoin,280,0.0330358,1.358E-5,9.02,-63.19,1706.94,1497518941
CFT,cryptoforecast,281,0.0243296,1.0E-5,0.12,-1.31,3022.9,1497518994
